ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
Airport ATM,2011-01-08,126,84,42,518900,395700,123200,Saturday,National_holiday,True,WHH,Saturday,42,42,2011-01,2011-01
Big Street ATM,2011-01-09,36,17,19,89000,37600,51400,Sunday,National_holiday,True,HHW,Sunday,-2,-2,2011-01,2011-01
Mount Road ATM,2011-01-09,311,50,261,751800,217400,534400,Sunday,National_holiday,True,HHW,Sunday,-211,-211,2011-01,2011-01
Airport ATM,2011-01-09,106,62,44,337100,243300,93800,Sunday,National_holiday,True,HHW,Sunday,18,18,2011-01,2011-01
KK Nagar ATM,2011-01-09,149,114,35,438000,332000,106000,Sunday,National_holiday,True,HHW,Sunday,79,79,2011-01,2011-01
Christ College ATM,2011-01-09,100,40,60,363800,212200,151600,Sunday,National_holiday,True,HHW,Sunday,-20,-20,2011-01,2011-01
Big Street ATM,2011-01-10,29,14,15,89800,60500,29300,Monday,National_holiday,,HWW,Monday,-1,-1,2011-01,2011-01
Mount Road ATM,2011-01-10,219,108,111,702200,487500,214700,Monday,National_holiday,,HWW,Monday,-3,-3,2011-01,2011-01
Airport ATM,2011-01-10,99,73,26,424200,310800,113400,Monday,National_holiday,,HWW,Monday,47,47,2011-01,2011-01
KK Nagar ATM,2011-01-10,224,192,32,949700,826100,123600,Monday,National_holiday,,HWW,Monday,160,160,2011-01,2011-01
Christ College ATM,2011-01-10,116,53,63,545400,315800,229600,Monday,National_holiday,,HWW,Monday,-10,-10,2011-01,2011-01
KK Nagar ATM,2011-01-11,228,180,48,837900,705600,132300,Tuesday,National_holiday,,WWW,Tuesday,132,132,2011-01,2011-01
Airport ATM,2011-01-11,101,70,31,390700,273100,117600,Tuesday,National_holiday,,WWW,Tuesday,39,39,2011-01,2011-01
Christ College ATM,2011-01-11,92,36,56,343700,165600,178100,Tuesday,National_holiday,,WWW,Tuesday,-20,-20,2011-01,2011-01
Big Street ATM,2011-01-11,42,20,22,111900,74400,37500,Tuesday,National_holiday,,WWW,Tuesday,-2,-2,2011-01,2011-01
Mount Road ATM,2011-01-11,232,94,138,506000,261800,244200,Tuesday,National_holiday,,WWW,Tuesday,-44,-44,2011-01,2011-01
Big Street ATM,2011-01-12,19,9,10,42700,13600,29100,Wednesday,National_holiday,,WWW,Wednesday,-1,-1,2011-01,2011-01
Mount Road ATM,2011-01-12,235,92,143,647600,363000,284600,Wednesday,National_holiday,,WWW,Wednesday,-51,-51,2011-01,2011-01
Airport ATM,2011-01-12,116,88,28,497200,427600,69600,Wednesday,National_holiday,,WWW,Wednesday,60,60,2011-01,2011-01
KK Nagar ATM,2011-01-12,198,176,22,769600,702300,67300,Wednesday,National_holiday,,WWW,Wednesday,154,154,2011-01,2011-01
Christ College ATM,2011-01-12,74,37,37,301300,177100,124200,Wednesday,National_holiday,,WWW,Wednesday,0,0,2011-01,2011-01
Christ College ATM,2011-02-01,97,31,66,432000,158400,273600,Tuesday,National_holiday,,WWW,Tuesday,-35,-35,2011-02,2011-02
KK Nagar ATM,2011-02-01,221,183,38,958300,770900,187400,Tuesday,National_holiday,,WWW,Tuesday,145,145,2011-02,2011-02
Airport ATM,2011-02-01,105,78,27,578100,438700,139400,Tuesday,National_holiday,,WWW,Tuesday,51,51,2011-02,2011-02
Big Street ATM,2011-02-01,36,17,19,161700,121300,40400,Tuesday,National_holiday,,WWW,Tuesday,-2,-2,2011-02,2011-02
Mount Road ATM,2011-02-01,164,106,58,631800,476600,155200,Tuesday,National_holiday,,WWW,Tuesday,48,48,2011-02,2011-02
Big Street ATM,2011-02-02,19,13,6,79200,70500,8700,Wednesday,National_holiday,,WWW,Wednesday,7,7,2011-02,2011-02
Mount Road ATM,2011-02-02,164,93,71,714900,495000,219900,Wednesday,National_holiday,,WWW,Wednesday,22,22,2011-02,2011-02
Airport ATM,2011-02-02,104,72,32,472000,345000,127000,Wednesday,National_holiday,,WWW,Wednesday,40,40,2011-02,2011-02
KK Nagar ATM,2011-02-02,271,196,75,1159900,833900,326000,Wednesday,National_holiday,,WWW,Wednesday,121,121,2011-02,2011-02
Christ College ATM,2011-02-02,133,55,78,714600,329400,385200,Wednesday,National_holiday,,WWW,Wednesday,-23,-23,2011-02,2011-02
Christ College ATM,2011-02-03,80,36,44,359800,172400,187400,Thursday,National_holiday,,WWW,Thursday,-8,-8,2011-02,2011-02
KK Nagar ATM,2011-02-03,198,164,34,823400,731700,91700,Thursday,National_holiday,,WWW,Thursday,130,130,2011-02,2011-02
Big Street ATM,2011-02-03,40,26,14,167800,121900,45900,Thursday,National_holiday,,WWW,Thursday,12,12,2011-02,2011-02
Mount Road ATM,2011-02-03,170,82,88,593000,426100,166900,Thursday,National_holiday,,WWW,Thursday,-6,-6,2011-02,2011-02
Airport ATM,2011-02-03,114,95,19,467800,403800,64000,Thursday,National_holiday,,WWW,Thursday,76,76,2011-02,2011-02
Big Street ATM,2011-02-04,28,18,10,112700,82700,30000,Friday,National_holiday,,WWH,Friday,8,8,2011-02,2011-02
Mount Road ATM,2011-02-04,185,91,94,615700,345300,270400,Friday,National_holiday,,WWH,Friday,-3,-3,2011-02,2011-02
Airport ATM,2011-02-04,114,93,21,534800,448400,86400,Friday,National_holiday,,WWH,Friday,72,72,2011-02,2011-02
