ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
Christ College ATM,2011-09-08,79,44,35,345200,211700,133500,Thursday,National_holiday,,WWW,Thursday,9,9,2011-09,2011-09
Christ College ATM,2011-09-09,112,39,73,369400,156400,213000,Friday,National_holiday,,WWW,Friday,-34,-34,2011-09,2011-09
KK Nagar ATM,2011-09-09,106,85,21,415000,312900,102100,Friday,National_holiday,,WWW,Friday,64,64,2011-09,2011-09
Airport ATM,2011-09-09,116,82,34,484900,386200,98700,Friday,National_holiday,,WWW,Friday,48,48,2011-09,2011-09
Big Street ATM,2011-09-09,23,18,5,105700,82500,23200,Friday,National_holiday,,WWW,Friday,13,13,2011-09,2011-09
Mount Road ATM,2011-09-09,125,52,73,370600,172000,198600,Friday,National_holiday,,WWW,Friday,-21,-21,2011-09,2011-09
Big Street ATM,2011-09-10,32,12,20,67600,29000,38600,Saturday,National_holiday,True,WHH,Saturday,-8,-8,2011-09,2011-09
Mount Road ATM,2011-09-10,133,77,56,444300,315300,129000,Saturday,National_holiday,True,WHH,Saturday,21,21,2011-09,2011-09
Airport ATM,2011-09-10,142,94,48,663300,523700,139600,Saturday,National_holiday,True,WHH,Saturday,46,46,2011-09,2011-09
KK Nagar ATM,2011-09-10,179,142,37,864500,737800,126700,Saturday,National_holiday,True,WHH,Saturday,105,105,2011-09,2011-09
Christ College ATM,2011-09-10,87,49,38,393600,245700,147900,Saturday,National_holiday,True,WHH,Saturday,11,11,2011-09,2011-09
KK Nagar ATM,2011-09-11,84,55,29,260900,177800,83100,Sunday,National_holiday,True,HHW,Sunday,26,26,2011-09,2011-09
Airport ATM,2011-09-11,85,52,33,312200,219300,92900,Sunday,National_holiday,True,HHW,Sunday,19,19,2011-09,2011-09
Christ College ATM,2011-09-11,49,25,24,141100,82800,58300,Sunday,National_holiday,True,HHW,Sunday,1,1,2011-09,2011-09
Big Street ATM,2011-09-11,39,12,27,127100,39600,87500,Sunday,National_holiday,True,HHW,Sunday,-15,-15,2011-09,2011-09
Mount Road ATM,2011-09-11,152,42,110,312900,121700,191200,Sunday,National_holiday,True,HHW,Sunday,-68,-68,2011-09,2011-09
Big Street ATM,2011-09-12,20,14,6,93200,77300,15900,Monday,National_holiday,,HWW,Monday,8,8,2011-09,2011-09
Mount Road ATM,2011-09-12,132,86,46,468800,348600,120200,Monday,National_holiday,,HWW,Monday,40,40,2011-09,2011-09
Airport ATM,2011-09-12,82,66,16,412900,359500,53400,Monday,National_holiday,,HWW,Monday,50,50,2011-09,2011-09
KK Nagar ATM,2011-09-12,192,165,27,950500,825600,124900,Monday,National_holiday,,HWW,Monday,138,138,2011-09,2011-09
Christ College ATM,2011-09-12,50,31,19,154400,104200,50200,Monday,National_holiday,,HWW,Monday,12,12,2011-09,2011-09
Christ College ATM,2011-10-01,100,34,66,376100,126300,249800,Saturday,National_holiday,True,WHH,Saturday,-32,-32,2011-10,2011-10
KK Nagar ATM,2011-10-01,189,131,58,822800,525400,297400,Saturday,National_holiday,True,WHH,Saturday,73,73,2011-10,2011-10
Big Street ATM,2011-10-01,53,38,15,239500,192600,46900,Saturday,National_holiday,True,WHH,Saturday,23,23,2011-10,2011-10
Mount Road ATM,2011-10-01,246,99,147,788500,411600,376900,Saturday,National_holiday,True,WHH,Saturday,-48,-48,2011-10,2011-10
Airport ATM,2011-10-01,143,107,36,721900,572800,149100,Saturday,National_holiday,True,WHH,Saturday,71,71,2011-10,2011-10
Big Street ATM,2011-10-02,43,18,25,149000,63500,85500,Sunday,Normal_Day,True,HHW,Sunday,-7,-7,2011-10,2011-10
Mount Road ATM,2011-10-02,215,40,175,759200,246700,512500,Sunday,Normal_Day,True,HHW,Sunday,-135,-135,2011-10,2011-10
Airport ATM,2011-10-02,97,62,35,397700,293300,104400,Sunday,Normal_Day,True,HHW,Sunday,27,27,2011-10,2011-10
KK Nagar ATM,2011-10-02,133,94,39,470400,311000,159400,Sunday,Normal_Day,True,HHW,Sunday,55,55,2011-10,2011-10
Christ College ATM,2011-10-02,80,20,60,263000,81900,181100,Sunday,Normal_Day,True,HHW,Sunday,-40,-40,2011-10,2011-10
KK Nagar ATM,2011-10-03,119,96,23,464500,388900,75600,Monday,National_holiday,,HWW,Monday,73,73,2011-10,2011-10
Christ College ATM,2011-10-03,37,22,15,178100,106900,71200,Monday,National_holiday,,HWW,Monday,7,7,2011-10,2011-10
Mount Road ATM,2011-10-03,96,57,39,339700,221000,118700,Monday,National_holiday,,HWW,Monday,18,18,2011-10,2011-10
Big Street ATM,2011-10-03,22,17,5,113200,96100,17100,Monday,National_holiday,,HWW,Monday,12,12,2011-10,2011-10
Airport ATM,2011-10-03,71,59,12,338600,306000,32600,Monday,National_holiday,,HWW,Monday,47,47,2011-10,2011-10
Big Street ATM,2011-10-04,23,13,10,68900,46700,22200,Tuesday,National_holiday,,WWH,Tuesday,3,3,2011-10,2011-10
Mount Road ATM,2011-10-04,194,82,112,642400,354900,287500,Tuesday,National_holiday,,WWH,Tuesday,-30,-30,2011-10,2011-10
Airport ATM,2011-10-04,114,85,29,704300,607900,96400,Tuesday,National_holiday,,WWH,Tuesday,56,56,2011-10,2011-10
KK Nagar ATM,2011-10-04,193,163,30,808500,699000,109500,Tuesday,National_holiday,,WWH,Tuesday,133,133,2011-10,2011-10
Christ College ATM,2011-10-04,67,40,27,265500,152200,113300,Tuesday,National_holiday,,WWH,Tuesday,13,13,2011-10,2011-10
Christ College ATM,2011-10-05,36,17,19,123600,69100,54500,Wednesday,Hindu_festival,True,WHH,Wednesday,-2,-2,2011-10,2011-10
KK Nagar ATM,2011-10-05,171,132,39,654400,531000,123400,Wednesday,Hindu_festival,True,WHH,Wednesday,93,93,2011-10,2011-10
Mount Road ATM,2011-10-05,296,63,233,839900,280700,559200,Wednesday,Hindu_festival,True,WHH,Wednesday,-170,-170,2011-10,2011-10
Big Street ATM,2011-10-05,39,23,16,151600,114300,37300,Wednesday,Hindu_festival,True,WHH,Wednesday,7,7,2011-10,2011-10
Airport ATM,2011-10-05,93,64,29,380000,280300,99700,Wednesday,Hindu_festival,True,WHH,Wednesday,35,35,2011-10,2011-10
Mount Road ATM,2011-10-06,240,65,175,840200,300400,539800,Thursday,Hindu_festival,True,HHW,Thursday,-110,-110,2011-10,2011-10
Airport ATM,2011-10-06,95,58,37,411600,255700,155900,Thursday,Hindu_festival,True,HHW,Thursday,21,21,2011-10,2011-10
KK Nagar ATM,2011-10-06,272,174,98,1195700,767900,427800,Thursday,Hindu_festival,True,HHW,Thursday,76,76,2011-10,2011-10
Christ College ATM,2011-10-06,74,46,28,356100,240800,115300,Thursday,Hindu_festival,True,HHW,Thursday,18,18,2011-10,2011-10
Christ College ATM,2011-10-07,86,54,32,360000,228600,131400,Friday,National_holiday,,WWH,Friday,22,22,2011-10,2011-10
KK Nagar ATM,2011-10-07,157,118,39,588400,414200,174200,Friday,National_holiday,,WWH,Friday,79,79,2011-10,2011-10
Big Street ATM,2011-10-07,14,9,5,36500,28000,8500,Friday,National_holiday,,WWH,Friday,4,4,2011-10,2011-10
Mount Road ATM,2011-10-07,113,52,61,392400,252700,139700,Friday,National_holiday,,WWH,Friday,-9,-9,2011-10,2011-10
Airport ATM,2011-10-07,107,73,34,485400,359100,126300,Friday,National_holiday,,WWH,Friday,39,39,2011-10,2011-10
Big Street ATM,2011-10-08,44,19,25,210500,138500,72000,Saturday,National_holiday,True,WHH,Saturday,-6,-6,2011-10,2011-10
Mount Road ATM,2011-10-08,236,93,143,729600,340500,389100,Saturday,National_holiday,True,WHH,Saturday,-50,-50,2011-10,2011-10
Airport ATM,2011-10-08,118,94,24,615700,526900,88800,Saturday,National_holiday,True,WHH,Saturday,70,70,2011-10,2011-10
KK Nagar ATM,2011-10-08,204,158,46,952300,741700,210600,Saturday,National_holiday,True,WHH,Saturday,112,112,2011-10,2011-10
Christ College ATM,2011-10-08,110,80,30,582300,455000,127300,Saturday,National_holiday,True,WHH,Saturday,50,50,2011-10,2011-10
Christ College ATM,2011-10-09,54,24,30,191800,89000,102800,Sunday,National_holiday,True,HHW,Sunday,-6,-6,2011-10,2011-10
Airport ATM,2011-10-09,107,73,34,496400,392100,104300,Sunday,National_holiday,True,HHW,Sunday,39,39,2011-10,2011-10
KK Nagar ATM,2011-10-09,152,108,44,558100,364300,193800,Sunday,National_holiday,True,HHW,Sunday,64,64,2011-10,2011-10
Big Street ATM,2011-10-09,45,24,21,181300,144200,37100,Sunday,National_holiday,True,HHW,Sunday,3,3,2011-10,2011-10
Mount Road ATM,2011-10-09,166,44,122,486400,145200,341200,Sunday,National_holiday,True,HHW,Sunday,-78,-78,2011-10,2011-10
Big Street ATM,2011-10-10,41,21,20,205000,152200,52800,Monday,National_holiday,,HWW,Monday,1,1,2011-10,2011-10
Mount Road ATM,2011-10-10,212,110,102,662200,385500,276700,Monday,National_holiday,,HWW,Monday,8,8,2011-10,2011-10
Airport ATM,2011-10-10,117,104,13,751900,687200,64700,Monday,National_holiday,,HWW,Monday,91,91,2011-10,2011-10
KK Nagar ATM,2011-10-10,207,160,47,1136600,894300,242300,Monday,National_holiday,,HWW,Monday,113,113,2011-10,2011-10
Christ College ATM,2011-10-10,131,74,57,590500,359100,231400,Monday,National_holiday,,HWW,Monday,17,17,2011-10,2011-10
Christ College ATM,2011-10-11,83,57,26,423700,313900,109800,Tuesday,National_holiday,,WWW,Tuesday,31,31,2011-10,2011-10
Airport ATM,2011-10-11,108,83,25,516900,398000,118900,Tuesday,National_holiday,,WWW,Tuesday,58,58,2011-10,2011-10
KK Nagar ATM,2011-10-11,192,157,35,765800,661100,104700,Tuesday,National_holiday,,WWW,Tuesday,122,122,2011-10,2011-10
Big Street ATM,2011-10-11,30,11,19,106200,64500,41700,Tuesday,National_holiday,,WWW,Tuesday,-8,-8,2011-10,2011-10
Mount Road ATM,2011-10-11,189,83,106,524300,297000,227300,Tuesday,National_holiday,,WWW,Tuesday,-23,-23,2011-10,2011-10
Big Street ATM,2011-10-12,39,22,17,231900,122200,109700,Wednesday,National_holiday,,WWW,Wednesday,5,5,2011-10,2011-10
Mount Road ATM,2011-10-12,174,80,94,472600,261000,211600,Wednesday,National_holiday,,WWW,Wednesday,-14,-14,2011-10,2011-10
Airport ATM,2011-10-12,98,70,28,498600,364900,133700,Wednesday,National_holiday,,WWW,Wednesday,42,42,2011-10,2011-10
KK Nagar ATM,2011-10-12,150,120,30,545700,428800,116900,Wednesday,National_holiday,,WWW,Wednesday,90,90,2011-10,2011-10
Christ College ATM,2011-10-12,86,63,23,474500,394800,79700,Wednesday,National_holiday,,WWW,Wednesday,40,40,2011-10,2011-10
Airport ATM,2011-11-01,98,71,27,429900,327700,102200,Tuesday,National_holiday,,WWW,Tuesday,44,44,2011-11,2011-11
Christ College ATM,2011-11-01,90,62,28,397000,278800,118200,Tuesday,National_holiday,,WWW,Tuesday,34,34,2011-11,2011-11
KK Nagar ATM,2011-11-01,171,122,49,861900,578600,283300,Tuesday,National_holiday,,WWW,Tuesday,73,73,2011-11,2011-11
Mount Road ATM,2011-11-01,139,75,64,501800,324700,177100,Tuesday,National_holiday,,WWW,Tuesday,11,11,2011-11,2011-11
Big Street ATM,2011-11-01,38,19,19,183200,121800,61400,Tuesday,National_holiday,,WWW,Tuesday,0,0,2011-11,2011-11
Big Street ATM,2011-11-02,41,23,18,223200,167700,55500,Wednesday,National_holiday,,WWW,Wednesday,5,5,2011-11,2011-11
Mount Road ATM,2011-11-02,216,110,106,900000,492400,407600,Wednesday,National_holiday,,WWW,Wednesday,4,4,2011-11,2011-11
Airport ATM,2011-11-02,100,76,24,475900,382900,93000,Wednesday,National_holiday,,WWW,Wednesday,52,52,2011-11,2011-11
KK Nagar ATM,2011-11-02,223,150,73,1120400,760300,360100,Wednesday,National_holiday,,WWW,Wednesday,77,77,2011-11,2011-11
Christ College ATM,2011-11-02,97,39,58,417400,129900,287500,Wednesday,National_holiday,,WWW,Wednesday,-19,-19,2011-11,2011-11
Christ College ATM,2011-11-03,110,49,61,473000,173500,299500,Thursday,National_holiday,,WWW,Thursday,-12,-12,2011-11,2011-11
KK Nagar ATM,2011-11-03,181,124,57,721400,441800,279600,Thursday,National_holiday,,WWW,Thursday,67,67,2011-11,2011-11
Big Street ATM,2011-11-03,38,19,19,131600,94200,37400,Thursday,National_holiday,,WWW,Thursday,0,0,2011-11,2011-11
Mount Road ATM,2011-11-03,157,83,74,514100,286100,228000,Thursday,National_holiday,,WWW,Thursday,9,9,2011-11,2011-11
Airport ATM,2011-11-03,87,57,30,416800,336400,80400,Thursday,National_holiday,,WWW,Thursday,27,27,2011-11,2011-11
Big Street ATM,2011-11-04,44,24,20,178800,128200,50600,Friday,National_holiday,,WWH,Friday,4,4,2011-11,2011-11
Mount Road ATM,2011-11-04,125,63,62,436800,234600,202200,Friday,National_holiday,,WWH,Friday,1,1,2011-11,2011-11
Airport ATM,2011-11-04,67,55,12,362500,345100,17400,Friday,National_holiday,,WWH,Friday,43,43,2011-11,2011-11
KK Nagar ATM,2011-11-04,158,116,42,705200,544700,160500,Friday,National_holiday,,WWH,Friday,74,74,2011-11,2011-11
Christ College ATM,2011-11-04,93,70,23,463400,329600,133800,Friday,National_holiday,,WWH,Friday,47,47,2011-11,2011-11
Big Street ATM,2011-11-05,41,13,28,117700,39300,78400,Saturday,National_holiday,True,WHH,Saturday,-15,-15,2011-11,2011-11
Mount Road ATM,2011-11-05,216,99,117,903100,495000,408100,Saturday,National_holiday,True,WHH,Saturday,-18,-18,2011-11,2011-11
Airport ATM,2011-11-05,98,74,24,507300,418000,89300,Saturday,National_holiday,True,WHH,Saturday,50,50,2011-11,2011-11
KK Nagar ATM,2011-11-05,232,172,60,965700,675500,290200,Saturday,National_holiday,True,WHH,Saturday,112,112,2011-11,2011-11
Christ College ATM,2011-11-05,122,79,43,484500,286100,198400,Saturday,National_holiday,True,WHH,Saturday,36,36,2011-11,2011-11
KK Nagar ATM,2011-11-06,116,73,43,500600,323100,177500,Sunday,National_holiday,True,HHH,Sunday,30,30,2011-11,2011-11
Airport ATM,2011-11-06,100,62,38,360800,258200,102600,Sunday,National_holiday,True,HHH,Sunday,24,24,2011-11,2011-11
Christ College ATM,2011-11-06,83,32,51,326100,161900,164200,Sunday,National_holiday,True,HHH,Sunday,-19,-19,2011-11,2011-11
Big Street ATM,2011-11-06,30,11,19,121000,54600,66400,Sunday,National_holiday,True,HHH,Sunday,-8,-8,2011-11,2011-11
Mount Road ATM,2011-11-06,194,37,157,528900,140500,388400,Sunday,National_holiday,True,HHH,Sunday,-120,-120,2011-11,2011-11
Big Street ATM,2011-11-07,12,5,7,39500,28700,10800,Monday,Muslim_festivals,True,HHW,Monday,-2,-2,2011-11,2011-11
Mount Road ATM,2011-11-07,148,61,87,399200,231300,167900,Monday,Muslim_festivals,True,HHW,Monday,-26,-26,2011-11,2011-11
Airport ATM,2011-11-07,98,79,19,416000,350000,66000,Monday,Muslim_festivals,True,HHW,Monday,60,60,2011-11,2011-11
KK Nagar ATM,2011-11-07,161,100,61,581800,368700,213100,Monday,Muslim_festivals,True,HHW,Monday,39,39,2011-11,2011-11
Christ College ATM,2011-11-07,56,33,23,161400,92500,68900,Monday,Muslim_festivals,True,HHW,Monday,10,10,2011-11,2011-11
Christ College ATM,2011-11-08,97,43,54,442500,170500,272000,Tuesday,National_holiday,,HWW,Tuesday,-11,-11,2011-11,2011-11
KK Nagar ATM,2011-11-08,182,124,58,795200,561900,233300,Tuesday,National_holiday,,HWW,Tuesday,66,66,2011-11,2011-11
Airport ATM,2011-11-08,110,78,32,468800,408500,60300,Tuesday,National_holiday,,HWW,Tuesday,46,46,2011-11,2011-11
Big Street ATM,2011-11-08,28,17,11,112300,94700,17600,Tuesday,National_holiday,,HWW,Tuesday,6,6,2011-11,2011-11
Mount Road ATM,2011-11-08,174,95,79,585200,385800,199400,Tuesday,National_holiday,,HWW,Tuesday,16,16,2011-11,2011-11
Big Street ATM,2011-11-09,32,18,14,141300,95300,46000,Wednesday,National_holiday,,WWW,Wednesday,4,4,2011-11,2011-11
Mount Road ATM,2011-11-09,199,108,91,645100,390700,254400,Wednesday,National_holiday,,WWW,Wednesday,17,17,2011-11,2011-11
Airport ATM,2011-11-09,133,95,38,545000,433400,111600,Wednesday,National_holiday,,WWW,Wednesday,57,57,2011-11,2011-11
KK Nagar ATM,2011-11-09,193,136,57,863500,632000,231500,Wednesday,National_holiday,,WWW,Wednesday,79,79,2011-11,2011-11
Christ College ATM,2011-11-09,101,41,60,412700,201100,211600,Wednesday,National_holiday,,WWW,Wednesday,-19,-19,2011-11,2011-11
Christ College ATM,2011-11-10,81,46,35,319000,220700,98300,Thursday,National_holiday,,WWW,Thursday,11,11,2011-11,2011-11
KK Nagar ATM,2011-11-10,156,119,37,619400,497400,122000,Thursday,National_holiday,,WWW,Thursday,82,82,2011-11,2011-11
Big Street ATM,2011-11-10,37,18,19,121900,87600,34300,Thursday,National_holiday,,WWW,Thursday,-1,-1,2011-11,2011-11
Mount Road ATM,2011-11-10,165,101,64,508400,345000,163400,Thursday,National_holiday,,WWW,Thursday,37,37,2011-11,2011-11
Airport ATM,2011-11-10,94,69,25,413500,330100,83400,Thursday,National_holiday,,WWW,Thursday,44,44,2011-11,2011-11
Big Street ATM,2011-11-11,34,11,23,102200,33600,68600,Friday,National_holiday,,WWH,Friday,-12,-12,2011-11,2011-11
Mount Road ATM,2011-11-11,154,80,74,526200,357900,168300,Friday,National_holiday,,WWH,Friday,6,6,2011-11,2011-11
Airport ATM,2011-11-11,111,73,38,579600,391200,188400,Friday,National_holiday,,WWH,Friday,35,35,2011-11,2011-11
KK Nagar ATM,2011-11-11,141,103,38,500600,358300,142300,Friday,National_holiday,,WWH,Friday,65,65,2011-11,2011-11
Christ College ATM,2011-11-11,97,42,55,412300,190000,222300,Friday,National_holiday,,WWH,Friday,-13,-13,2011-11,2011-11
Mount Road ATM,2011-11-12,160,83,77,364400,242600,121800,Saturday,National_holiday,True,WHH,Saturday,6,6,2011-11,2011-11
Airport ATM,2011-11-12,113,82,31,449100,362300,86800,Saturday,National_holiday,True,WHH,Saturday,51,51,2011-11,2011-11
KK Nagar ATM,2011-11-12,184,135,49,594700,425300,169400,Saturday,National_holiday,True,WHH,Saturday,86,86,2011-11,2011-11
Christ College ATM,2011-11-12,76,48,28,351100,222600,128500,Saturday,National_holiday,True,WHH,Saturday,20,20,2011-11,2011-11
Big Street ATM,2011-12-01,28,16,12,122800,77500,45300,Thursday,National_holiday,,WWW,Thursday,4,4,2011-12,2011-12
Mount Road ATM,2011-12-01,137,72,65,560100,357800,202300,Thursday,National_holiday,,WWW,Thursday,7,7,2011-12,2011-12
Airport ATM,2011-12-01,112,80,32,517900,398200,119700,Thursday,National_holiday,,WWW,Thursday,48,48,2011-12,2011-12
KK Nagar ATM,2011-12-01,230,160,70,1016100,719500,296600,Thursday,National_holiday,,WWW,Thursday,90,90,2011-12,2011-12
Christ College ATM,2011-12-01,86,38,48,411900,193700,218200,Thursday,National_holiday,,WWW,Thursday,-10,-10,2011-12,2011-12
Christ College ATM,2011-12-02,83,52,31,365500,236100,129400,Friday,National_holiday,,WWH,Friday,21,21,2011-12,2011-12
KK Nagar ATM,2011-12-02,244,157,87,1159400,772800,386600,Friday,National_holiday,,WWH,Friday,70,70,2011-12,2011-12
Mount Road ATM,2011-12-02,170,102,68,625900,457900,168000,Friday,National_holiday,,WWH,Friday,34,34,2011-12,2011-12
Airport ATM,2011-12-02,111,89,22,620200,514500,105700,Friday,National_holiday,,WWH,Friday,67,67,2011-12,2011-12
Big Street ATM,2011-12-02,43,22,21,180900,110100,70800,Friday,National_holiday,,WWH,Friday,1,1,2011-12,2011-12
Big Street ATM,2011-12-03,41,12,29,132000,29900,102100,Saturday,National_holiday,True,WHH,Saturday,-17,-17,2011-12,2011-12
Mount Road ATM,2011-12-03,198,77,121,742300,349300,393000,Saturday,National_holiday,True,WHH,Saturday,-44,-44,2011-12,2011-12
Airport ATM,2011-12-03,135,97,38,701300,510800,190500,Saturday,National_holiday,True,WHH,Saturday,59,59,2011-12,2011-12
KK Nagar ATM,2011-12-03,196,134,62,889000,623800,265200,Saturday,National_holiday,True,WHH,Saturday,72,72,2011-12,2011-12
Christ College ATM,2011-12-03,111,76,35,527700,345300,182400,Saturday,National_holiday,True,WHH,Saturday,41,41,2011-12,2011-12
Big Street ATM,2011-12-04,74,20,54,253700,96000,157700,Sunday,National_holiday,True,HHW,Sunday,-34,-34,2011-12,2011-12
Mount Road ATM,2011-12-04,174,48,126,532400,220400,312000,Sunday,National_holiday,True,HHW,Sunday,-78,-78,2011-12,2011-12
Airport ATM,2011-12-04,115,80,35,557100,432100,125000,Sunday,National_holiday,True,HHW,Sunday,45,45,2011-12,2011-12
KK Nagar ATM,2011-12-04,136,82,54,560800,351600,209200,Sunday,National_holiday,True,HHW,Sunday,28,28,2011-12,2011-12
Christ College ATM,2011-12-04,71,39,32,294800,195300,99500,Sunday,National_holiday,True,HHW,Sunday,7,7,2011-12,2011-12
Christ College ATM,2011-12-05,93,49,44,429600,236800,192800,Monday,National_holiday,,HWH,Monday,5,5,2011-12,2011-12
KK Nagar ATM,2011-12-05,251,175,76,1254100,906300,347800,Monday,National_holiday,,HWH,Monday,99,99,2011-12,2011-12
Airport ATM,2011-12-05,100,79,21,420500,367400,53100,Monday,National_holiday,,HWH,Monday,58,58,2011-12,2011-12
Big Street ATM,2011-12-05,46,14,32,211700,84200,127500,Monday,National_holiday,,HWH,Monday,-18,-18,2011-12,2011-12
Mount Road ATM,2011-12-05,160,76,84,598500,349900,248600,Monday,National_holiday,,HWH,Monday,-8,-8,2011-12,2011-12
Big Street ATM,2011-12-06,52,11,41,190200,60000,130200,Tuesday,Muslim_festivals,True,WHW,Tuesday,-30,-30,2011-12,2011-12
Mount Road ATM,2011-12-06,207,72,135,798100,415100,383000,Tuesday,Muslim_festivals,True,WHW,Tuesday,-63,-63,2011-12,2011-12
Airport ATM,2011-12-06,92,57,35,392500,260400,132100,Tuesday,Muslim_festivals,True,WHW,Tuesday,22,22,2011-12,2011-12
KK Nagar ATM,2011-12-06,167,98,69,570300,367600,202700,Tuesday,Muslim_festivals,True,WHW,Tuesday,29,29,2011-12,2011-12
Christ College ATM,2011-12-06,95,40,55,420800,183700,237100,Tuesday,Muslim_festivals,True,WHW,Tuesday,-15,-15,2011-12,2011-12
Big Street ATM,2011-12-07,39,19,20,127600,63900,63700,Wednesday,National_holiday,,HWW,Wednesday,-1,-1,2011-12,2011-12
Mount Road ATM,2011-12-07,179,103,76,670300,446500,223800,Wednesday,National_holiday,,HWW,Wednesday,27,27,2011-12,2011-12
Airport ATM,2011-12-07,119,85,34,464200,325700,138500,Wednesday,National_holiday,,HWW,Wednesday,51,51,2011-12,2011-12
KK Nagar ATM,2011-12-07,184,143,41,817700,636000,181700,Wednesday,National_holiday,,HWW,Wednesday,102,102,2011-12,2011-12
Christ College ATM,2011-12-07,107,56,51,493300,274800,218500,Wednesday,National_holiday,,HWW,Wednesday,5,5,2011-12,2011-12
KK Nagar ATM,2011-12-08,164,126,38,747900,591000,156900,Thursday,National_holiday,,WWW,Thursday,88,88,2011-12,2011-12
Airport ATM,2011-12-08,119,81,38,583200,449200,134000,Thursday,National_holiday,,WWW,Thursday,43,43,2011-12,2011-12
Christ College ATM,2011-12-08,78,43,35,356500,189200,167300,Thursday,National_holiday,,WWW,Thursday,8,8,2011-12,2011-12
Big Street ATM,2011-12-08,38,10,28,106000,23600,82400,Thursday,National_holiday,,WWW,Thursday,-18,-18,2011-12,2011-12
Mount Road ATM,2011-12-08,163,76,87,576600,318200,258400,Thursday,National_holiday,,WWW,Thursday,-11,-11,2011-12,2011-12
Big Street ATM,2011-12-09,50,20,30,168200,81400,86800,Friday,National_holiday,,WWH,Friday,-10,-10,2011-12,2011-12
Mount Road ATM,2011-12-09,168,97,71,589900,408000,181900,Friday,National_holiday,,WWH,Friday,26,26,2011-12,2011-12
Airport ATM,2011-12-09,109,93,16,469600,420000,49600,Friday,National_holiday,,WWH,Friday,77,77,2011-12,2011-12
KK Nagar ATM,2011-12-09,172,133,39,816600,661700,154900,Friday,National_holiday,,WWH,Friday,94,94,2011-12,2011-12
Christ College ATM,2011-12-09,98,54,44,414700,257600,157100,Friday,National_holiday,,WWH,Friday,10,10,2011-12,2011-12
Christ College ATM,2011-12-10,100,55,45,384600,210600,174000,Saturday,National_holiday,True,WHH,Saturday,10,10,2011-12,2011-12
KK Nagar ATM,2011-12-10,170,136,34,769200,641500,127700,Saturday,National_holiday,True,WHH,Saturday,102,102,2011-12,2011-12
Airport ATM,2011-12-10,116,85,31,648300,538100,110200,Saturday,National_holiday,True,WHH,Saturday,54,54,2011-12,2011-12
Big Street ATM,2011-12-10,39,25,14,154900,123800,31100,Saturday,National_holiday,True,WHH,Saturday,11,11,2011-12,2011-12
Mount Road ATM,2011-12-10,170,95,75,528900,305300,223600,Saturday,National_holiday,True,WHH,Saturday,20,20,2011-12,2011-12
Big Street ATM,2011-12-11,41,17,24,105300,48100,57200,Sunday,National_holiday,True,HHW,Sunday,-7,-7,2011-12,2011-12
Mount Road ATM,2011-12-11,118,22,96,300700,130900,169800,Sunday,National_holiday,True,HHW,Sunday,-74,-74,2011-12,2011-12
Airport ATM,2011-12-11,104,78,26,382100,310200,71900,Sunday,National_holiday,True,HHW,Sunday,52,52,2011-12,2011-12
KK Nagar ATM,2011-12-11,90,64,26,318700,238300,80400,Sunday,National_holiday,True,HHW,Sunday,38,38,2011-12,2011-12
Christ College ATM,2011-12-11,41,13,28,131400,48400,83000,Sunday,National_holiday,True,HHW,Sunday,-15,-15,2011-12,2011-12
Christ College ATM,2011-12-12,82,42,40,329000,182500,146500,Monday,National_holiday,,HWW,Monday,2,2,2011-12,2011-12
KK Nagar ATM,2011-12-12,182,135,47,671300,549200,122100,Monday,National_holiday,,HWW,Monday,88,88,2011-12,2011-12
Mount Road ATM,2011-12-12,155,91,64,445000,320700,124300,Monday,National_holiday,,HWW,Monday,27,27,2011-12,2011-12
Big Street ATM,2011-12-12,36,18,18,144100,95300,48800,Monday,National_holiday,,HWW,Monday,0,0,2011-12,2011-12
Airport ATM,2011-12-12,116,96,20,520000,451000,69000,Monday,National_holiday,,HWW,Monday,76,76,2011-12,2011-12
Big Street ATM,2012-01-01,47,17,30,193800,93300,100500,SUNDAY,Christain_festival,True,HHW,Sunday,-13,-13,2012-01,2012-01
Mount Road ATM,2012-01-01,219,50,169,560900,218300,342600,SUNDAY,Christain_festival,True,HHW,Sunday,-119,-119,2012-01,2012-01
Airport ATM,2012-01-01,101,55,46,378800,272600,106200,SUNDAY,Christain_festival,True,HHW,Sunday,9,9,2012-01,2012-01
KK Nagar ATM,2012-01-01,222,119,103,957400,541000,416400,SUNDAY,Christain_festival,True,HHW,Sunday,16,16,2012-01,2012-01
Christ College ATM,2012-01-01,103,33,70,356200,123300,232900,SUNDAY,Christain_festival,True,HHW,Sunday,-37,-37,2012-01,2012-01
Christ College ATM,2012-01-02,127,65,62,559700,314400,245300,SUNDAY,Christain_festival,True,HHW,Monday,3,3,2012-01,2012-01
Airport ATM,2012-01-02,107,91,16,574000,510000,64000,SUNDAY,Christain_festival,True,HHW,Monday,75,75,2012-01,2012-01
KK Nagar ATM,2012-01-02,228,171,57,1055300,795200,260100,SUNDAY,Christain_festival,True,HHW,Monday,114,114,2012-01,2012-01
